,Name,City,INN,reliable,dobro_mail,need_help,https,legal_fee
99,Московская Школа Профессиональной Филантропии,Москва,1,1,1,1,0,1
100,"Некоммерческая организация ""Благотворительный фонд ""Даунсайд Ап""",Москва,1,1,1,1,1,1
101,"Благотворительный фонд ""Созидание""",Москва,1,1,1,1,0,1
102,"Благотворительный фонд ""Волонтеры в помощь детям-сиротам""",Москва,1,1,1,1,0,1
103,БФ Предание,Москва,1,1,1,1,0,1
104,Старшие Братья Старшие Сестры,Москва,1,1,1,1,0,1
105,"БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ПОДДЕРЖКИ НУЖДАЮЩИХСЯ ""7 ЖИЗНЕЙ""",Москва,1,0,1,1,0,0
106,"Благотворительный фонд ""Семейная в помощь""",Москва,1,1,1,1,0,1
107,"Благотворительный фонд ""Дети Марии""",Москва,1,1,1,1,0,1
108,"Благотворительный фонд ""Фонд продовольствия ""Русь""",Москва,1,1,1,1,0,1
109,"Благотворительный фонд в поддержку материнства ""Быть мамой""",Москва,1,1,1,1,0,1
110,"Благотворительный фонд ""Центр содействия еврейской жизни молодежи ""ГИЛЕЛЬ""",Москва,1,1,1,1,0,1
111,"Региональная общественная организация инвалидов ""Перспектива""",,1,1,1,1,0,1
112,"Региональный общественный благотворительный фонд содействия культурному и спортивному развитию детей и молодежи ""Дети Мира""",Москва,1,1,1,1,0,1
113,"Благотворительный фонд ""Иллюстрированные книжки для маленьких слепых детей""",Москва,1,1,1,1,0,1
114,"Благотворительный фонд ""Дети Наши""",Москва,1,1,1,1,0,1
115,"БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ""ФОНД ПОДДЕРЖКИ СЛЕПОГЛУХИХ ""СО-ЕДИНЕНИЕ""",Москва,1,1,1,1,0,1
116,"Благотворительный фонд ""Адели""",Москва,1,1,1,1,0,1
117,"Благотворительный фонд развития паллиативной помощи ""Детский паллиатив""",Москва,1,1,1,1,0,1
118,"Благотворительный фонд социальной помощи детям ""Расправь крылья!""",Москва,1,1,1,1,0,1
119,"Благотворительный фонд поддержки семьи, материнства и детства ""Женщины за жизнь""",Москва,1,1,1,1,0,1
120,"Благотворительный фонд ""Творческое объединение ""Круг""",Москва,1,1,1,1,0,1
121,"Благотворительный фонд помощи тяжелобольным детям ""Живи""",Москва,1,1,1,1,1,1
122,"ФОНД ПОМОЩИ ДЕТЯМ, СТРАДАЮЩИМ ТЯЖЕЛЫМИ ЗАБОЛЕВАНИЯМИ И ИХ СЕМЬЯМ, ДЕТЯМ СИРОТАМ, ДЕТЯМ, ОСТАВШИМСЯ БЕЗ ПОПЕЧЕНИЯ РОДИТЕЛЕЙ, А ТАКЖЕ ГРАЖДАНАМ, НАХОДЯЩИМСЯ В ТРУДНОЙ ЖИЗНЕННОЙ СИТУАЦИИ ""ВРЕМЯ""",Москва,1,0,1,1,0,0
123,"Благотворительный фонд помощи недоношенным детям ""Право на чудо""",Москва,1,1,1,1,1,1
124,"Межрегиональная общественная организация инвалидов ""Пилигрим""",Москва,1,1,1,1,0,1
125,"Благотворительный фонд помощи детям-сиротам ""Здесь и сейчас""",Москва,1,1,1,1,0,1
126,"Благотворительный фонд ""В твоих руках""",Москва,1,1,1,1,0,1
127,"Негосударственное образовательное частное учреждение ""Учебно-методический центр Всероссийского общества глухих""",Москва,1,1,1,1,0,1
128,Благотворительный фонд помощи людям с Боковым Амиотрофическим Склерозом и другими нейромышечными заболеваниями «Живи сейчас»,Москва,1,1,1,1,0,1
129,"Благотворительный фонд ""Возьми счастье в дом""",Москва,1,1,1,1,0,1
130,"Благотворительный фонд ""Разные дети""",Москва,1,1,1,1,0,1
131,"Благотворительный фонд ""Развитие творческих инициатив""",москва,1,1,1,1,0,1
132,"РЕГИОНАЛЬНОЕ ОТДЕЛЕНИЕ МЕЖРЕГИОНАЛЬНОЙ ОБЩЕСТВЕННОЙ ОРГАНИЗАЦИИ В ПОДДЕРЖКУ ЛЮДЕЙ С МЕНТАЛЬНОЙ ИНВАЛИДНОСТЬЮ И ПСИХОФИЗИЧЕСКИМИ НАРУШЕНИЯМИ ""РАВНЫЕ ВОЗМОЖНОСТИ""",Москва,1,1,1,1,0,1
133,"Региональная общественная организация помощи детям с расстройствами аутистического спектра ""Контакт""",Москва,1,1,1,1,1,1
134,"Автономная некоммерческая организация дополнительного профессионального образования ""Институт развития семейного устройства""",Москва,1,1,1,1,1,1
135,"Благотворительный фонд помощи взрослым ""Живой""",Москва,1,1,1,1,0,1
136,"Благотворительный фонд помощи бездомным животным ""НИКА""",Москва,1,1,1,1,0,1
137,"Автономная некоммерческая организация ""Свято-Софийский социальный дом""",Москва,1,1,1,1,0,1
138,Благотворительный фонд социальной и информационной поддержки для детей после кохлеарной имплантации и с нарушением слуха «Мелодия жизни»,Москва,1,1,1,1,0,1
139,"Благотворительный фонд ""ПРАВМИР""",Москва,1,1,1,1,0,1
140,"Благотворительный фонд ""БлагоДА""",москва,1,1,1,1,1,1
141,"Благотворительный фонд ""Новая жизнь""",Москва,1,1,1,1,0,1
142,"Благотворительный фонд поддержки людей с тяжелыми нарушениями развития ""Близкие Другие""",Санкт-Петербург,1,1,1,1,0,1
143,Автономная некоммерческая организация помощи детям с тяжелыми заболеваниями «Ленздравклоун»,Санкт-Петербург,1,1,1,1,0,1
144,"Автономная некоммерческая организация ""Военно-патриотический центр ""Вымпел-Спб""",Санкт-Петербург,1,1,1,1,0,1
145,"Автономная некоммерческая организация оказания помощи людям с ментальными особенностями ""Аутсайдервиль""",Санкт-Петербург,1,1,1,1,0,1
146,"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ПО ОКАЗАНИЮ УСЛУГ В ОБЛАСТИ РЕАБИЛИТАЦИИ ДЕТЕЙ С НАРУШЕНИЯМИ СЛУХА ""Я ТЕБЯ СЛЫШУ""",Санкт-Петербург,1,1,1,1,0,1
147,"Благотворительный фонд ""Твоя территория""",Санкт-Петербург,1,1,1,1,0,1
148,"Благотворительный фонд помощи нуждающимся детям ""Вера и надежда""",Санкт-Петербург,1,1,1,1,0,1
149,"Благотворительный фонд ""Теплый дом""",Санкт-Петербург,1,1,1,1,0,1
150,"Автономная некоммерческая организация ""Кукольный театр ""Виноград""",Санкт-Петербург,1,1,1,1,0,1
151,"Благотворительный Фонд ""Детский хоспис""",Санкт-Петербург,1,1,1,1,1,1
152,"Религиозная организация ""Католический благотворительный центр ""Каритас Санкт-Петербург""",Санкт-Петербург,1,1,1,1,0,1
153,"Автономная некоммерческая организация ""Центр развития инновационных социальных услуг ""Партнерство каждому ребенку""",Санкт-Петербург,1,1,1,1,0,1
154,"Благотворительный фонд ""Все все вместе""",Санкт-Петербург,1,1,1,1,0,1
155,Благотворительная организация Апельсин,Санкт-Петербург,1,1,1,1,0,1
156,"СПБОО ""ЕАСП""",Санкт-Петербург,1,1,1,1,0,1
157,"Благотворительный фонд ""Апрель""",Санкт-Петербург,1,1,1,1,0,1
158,Санкт-Петербургский Благотворительный фонд помощи детям с онкозаболиваниями «Свет»,Санкт-Петербург,1,1,1,1,0,1
159,Фонд развития образования МиКЭБИ,Санкт-Петербург,1,1,1,1,0,1
160,"Межрегиональная общественная организация социальной помощи детям ""Наши дети""",Санкт-Петербург,1,1,1,1,1,1
161,"Автономная некоммерческая организация социальной адаптации пожилых ""Серебряный возраст""",Санкт-Петербург,1,1,1,1,0,1
162,"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ЦЕНТР СОЦИАЛЬНОЙ ПОДДЕРЖКИ ЛИЦАМ, ОКАЗАВШИХСЯ В ТРУДНОЙ ЖИЗНЕННОЙ СИТУАЦИИ ""ОБИТЕЛЬ""",Салехард,1,1,1,1,0,1
163,"Региональная Общественная Организация ""Центр стратегического развития и проектной деятельности ""Устойчивый Крым""",Симферополь,1,1,1,1,0,1
164,"Благотворительный фонд защиты и поддержки детей и материнства ""Шаг в жизнь""",Москва,1,1,1,1,0,1
165,Фонд «Дом с маяком»,Москва,1,1,1,1,1,1
166,"БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ПОМОЩИ ДЕТЯМ, ОСТАВШИМСЯ БЕЗ ПОПЕЧЕНИЯ РОДИТЕЛЕЙ В ОБЛАСТНЫХ И СЕЛЬСКИХ ДОМАХ РЕБЕНКА ""ДОРОГА ЖИЗНИ""",Москва,1,1,1,1,0,1
167,"Благотворительный фонд помощи животным ""Собаки, которые любят""",Москва,1,1,1,1,0,1
168,"БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ЕЛЕНЫ РОМАНОВОЙ ""ГОРОД ДОБРА""",Москва,1,0,1,1,0,0
169,"Благотворительный фонд ""Inclusive Dance""",Москва,1,1,1,1,0,1
170,"Автономная некоммерческая организация Центр социального развития ""Просвещен""",Москва,1,1,1,1,1,1
171,Благотворительный фонд реализации социальных проектов «Охана»,Москва,1,1,1,1,0,1
172,"Благотворительный Фонд Адресной Помощи ""ЛЮБАВА""",Москва,1,0,1,1,0,0
173,"Международный детский фонд ""Дети Саха-Азия""",Якутск,0,1,1,1,0,1
174,"Автономная некоммерческая организация ""Реабилитационный центр №1""",Красноярск,0,1,1,1,0,1
175,"Ивановская Региональная Общественная Организация Защиты Прав Потребителей в Сфере Банковских и Страховых Услуг ""ПАРТНЕР",Иваново,0,1,1,1,1,1
176,"Благотворительный фонд ""Открывая горизонты""",Москва,0,1,1,1,0,1
177,"БЛАГОТВОРИТЕЛЬНЫЙ ФОНД СОЦИАЛЬНОЙ АДАПТАЦИИ ГРАЖДАН ""ТОЧКА ОПОРЫ""",Москва,0,1,1,1,0,1
178,"НО ""Фонд ""Нижегородский онкологический научный центр""",Нижний Новгород,0,1,1,1,1,1
179,"Автономная некоммерческая организация"" Патронажная служба""",Брянск,0,1,1,1,0,1
180,Благотворительный фонд помощи детям с онкологическими заболеваниями памяти Ирины Чёрной «ЛИЧНОЕ УЧАСТИЕ»,Москва,0,1,1,1,0,1
181,"БФ ""МОМ""",Москва,0,1,1,1,1,1
182,"Благотворительный фонд социальной поддержки и охраны здоровья граждан ""Помощь""",г. Санкт-Петербург,0,1,1,1,0,1
183,"Благотворительный фонд поддержки детей и молодежи ""Путевка в жизнь""",Москва,0,1,1,1,0,1
184,"Автономная Некоммерческая Организация ""Центр Психологической и информационной поддержки материнства ""Душа Мамы""",москва,0,1,1,1,0,1
185,Благотворительный фонд поддержки людей с особенностями развития «Я есть!»,Москва,0,1,1,1,0,1
186,"Автономная некоммерческая организация помощи пожилым людям и инвалидам Республики Башкортостан ""Дорогие мои старики""",Уфа,0,1,1,1,0,1
187,Благотворительный фонд Памяти Николая Богатикова в поддержку пострадавших в ДТП,Санкт-Петербург,0,1,1,1,0,1
188,Фонд «Навстречу переменам»,Москва,0,1,1,1,0,1
189,Фонд развития футбола инвалидов «Равные Возможности»,Москва,0,1,1,1,0,1
190,"Благотворительный Фонд помощи медикам ""ВБлагодарность""",Москва,0,1,1,1,0,1
191,АНО «Преданное Сердце»,Санкт Петербург,0,1,1,1,0,1
192,"Благотворительный фонд профилактики и охраны здоровья граждан ""Обними жизнь""",Якутск,0,1,1,1,0,1
193,"Благотворительный фонд содействия талантам ""Особые мастера""",Москва,0,1,1,1,0,1
194,Благотворительный фонд «Артемка»,Санкт-Петербург,0,1,1,1,0,1
195,"Красноярский благотворительный фонд ""Дари добро""",Красноярск,0,1,1,1,0,1
196,"Фонд формирования и развития трудового кадрового резерва, обеспечение профессиональной реализации молодежи «ВРЕМЯ ВПЕРЕД»",Москва,0,1,1,1,0,1
197,"Благотворительный фонд помощи детям онкогематологическими и иными тяжелыми заболеваниями ""Подари жизнь""",Москва,0,1,1,1,0,1
198,Благотворительный фонд межцерковной христианской диаконии (БФ Диакония),Санкт-Петербург,0,1,1,1,0,1
199,"Фонд помощи животным ""Лапа Дружбы""",Москва,0,1,1,1,0,1
200,Фонд содействия защите здоровья и социальной справедливости имени Андрея Рылькова,Москва,0,1,1,1,0,1
201,"Автономная некоммерческая организация по развитию и поддержке вакцинопрофилактики ""Коллективный иммунитет""",Санкт-Петербург,0,1,1,1,0,1
202,Благотворительный фонд поддержки и развития образования «Новый учитель»,Москва,0,1,1,1,0,1
203,"Благотворительный фонд помощи детям ""Марафон 5 дней""",Сочи,0,1,1,1,0,1
204,ВРОО Аутмама,Воронеж,0,1,1,1,0,1
205,Благотворительный Фонд поддержки семьи «Мои друзья»,Москва,0,1,1,1,0,1
206,Автономная некоммерческая организация по оказанию психологической помощи и социальному консультированию «Проект СО-действие (Социально Ответственное действие)»,Москва,0,1,1,1,0,1
207,Театр-цирк Монгольфьери,Санкт-Петербург,0,1,1,1,0,1
208,"НП ""Центр содействия экологическому предпринимательству""",Москва,0,1,1,1,0,1
209,"АНО ""Алтае-Саянское горное партнерство""",Усть-Кокса,0,1,1,1,0,1
210,Благотворительный фонд Цветы добра,Липецк,0,1,1,1,0,1
211,Благотворительный фонд помощи людям с тяжёлой формой инвалидности Циферка,Москва,0,1,1,1,0,1
212,"Благотворительный фонд ""Подари мне крылья""",Санкт-Петербург,0,1,1,1,1,1
213,Автономная некоммерческая организация дополнительного профессионального образования «Центр обучения профессионалов здравоохранения»,Москва,0,1,1,1,0,1
214,"Благотворительный фонд помощи тяжело больным детям, детям-инвалидам ""Планета здоровья""",Новороссийск,0,1,1,1,0,1
215,"Благотворительный фонд ""Дарю Благо""",Екатеринбург,0,1,1,1,0,1
216,Благотворительный Фонд «Родительский мост»,Санкт- Петербург,0,1,1,1,0,1
217,"Фонд поддержки современного искусства ""Космоскоу""",Москва,0,1,1,1,0,1
218,"Автономная некоммерческая организация ""центр бесплатной юридической и информационно-коммуникационной помощи"" Парадигма """,Бугуруслан,0,1,1,1,0,1
219,"Благотворительный фонд помощи животным ""Тедди""",Самара,0,1,1,1,0,1
220,"Марфо-Мариинская обитель милосердия, Группа работы с просителями",Москва,0,1,1,1,0,1
221,"Межрегиональная общественная организация ""Дальневосточная Экологическая комиссия""",Уссурийск,0,1,1,1,0,1
222,"АНО ""Инклюзивный центр ""Йом-йом""",Санкт-Петербург,0,1,1,1,0,1
223,Российский комитет Международного совета музеев (ИКОМ России),Москва,0,1,1,1,0,1
224,"НКО Благотворительный фонд ""Счастливый мир""",Москва,0,1,1,1,0,1
225,"Некоммерческая организация ""Фонд поддержки гражданских инициатив "" Светлые Лица""",Надым,0,1,1,1,0,1
226,Некоммерческая организация Благотворительный фонд «Счастливый мир»,Москва,0,1,1,1,0,1
227,"Автономная некоммерческая организация ""Образовательный клуб друзей физико-математической школы № 146""",Пермь,0,1,1,1,0,1
228,Благотворительный фонд развития системной помощи пациентам с миодистрофией Дюшенна «Гордей»,Москва,0,1,1,1,0,1
229,"Благотворительный фонд помощи детям ""Инфраструктура детства""",Тольятти,0,1,1,1,0,1
230,"РООИ ""Творческое партнерство""",Москва,0,1,1,1,0,1
231,Ассоциация участников социальных проектов «Драйвер роста»,Белгород,0,1,1,1,0,1
232,"Благотворительный фонд поддержки инвалидов, их семей и людей, находящихся в тяжелой жизненной ситуации «Времена года»",Вологда,0,1,1,1,0,1
233,"Хабаровская краевая общественная организация ""Милосердие""",Хабаровск,0,1,1,1,0,1
234,"Благотворительный фонд ""Мир в каждый дом""",Москва,0,1,1,1,1,1
235,"АНО Центр развития волонтерства ""ПОМОГИ ПРОСТО""",Санкт-Петербург,0,1,1,1,0,1
236,"АНО защиты труда ""Этика трудовых отношений""",Домодедово,0,1,1,1,0,1
237,Автономная некоммерческая организация по реализации социально значимых программ и проектов «Во благо» (АНО «Во благо»),Москва,0,1,1,1,0,1
238,"Благотворительный фонд помощи детям, рождённым на раннем сроке ""Подари солнечный свет""",Москва,0,1,1,1,0,1
239,АНО Общество помощи детям Возможность,Уфа,0,1,1,1,0,1
240,"БФ ""Творящие добро""",Уфа,0,1,1,1,0,1
241,"Благотворительный фонд ""Плюс Помощь Детям""",Москва,0,1,1,1,1,1
242,"Фонд поддержки,помощи и развития многодетных семей и людей находящихся в трудной жизненной ситуации или социально-опасном положении ""Дела Любви""",Санкт-Петербург,0,1,1,1,0,1
243,"Благотворительный фонд в поддержку развития детского творчества ""Жизнь в искусстве""",Москва,0,1,1,1,0,1
244,Международный благотворительный фонд имени Надежды Филаретовны фон Мекк,Москва,0,1,1,1,0,1
245,МБОО Ночлежка,Санкт-Петербург,0,1,1,1,0,1
